# [Filetype: Wrye Mash Remover]
# All creatures added by Neoptolemus' Morrowind Comes Alive v5.1
# by Dragon32

# MCA 5.1
"_MCA_skeleton"	"Skeleton"
"_MCA_ordinator_high_f"	"High Ordinator"
"_MCA_imp_guard_imp_f1"	"Imperial Legionary"
"_MCA_commoner_dun_m"	"Commoner"
"_MCA_commoner_dun_f"	"Commoner"
"_MCA_pilgrim_m"	"Pilgrim"
"_MCA_pilgrim_f"	"Pilgrim"
"_MCA_layman_imperial_f"	"Lay Sister"
"_MCA_layman_imperial_m"	"Lay Brother"
"_MCA_armiger_m"	"Buoyant Armiger"
"_MCA_armiger_elite_m"	"Elite Buoyant Armiger"
"_MCA_priest_dunmer_m"	"Priest"
"_MCA_priest_dunmer_f"	"Priestess"
"_MCA_priest_imperial_m"	"Priest"
"_MCA_priest_imperial_f"	"Priestess"
"_MCA_priest_breton_f"	"Priestess"
"_MCA_priest_breton_m"	"Priest"
"_MCA_fence_dunmer"	"Fence"
"_MCA_commoner_nord_m"	"Commoner"
"_MCA_commoner_nord_f"	"Commoner"
"_MCA_guard_helseth_f"	"Royal Guard"
"_MCA_guard_hlaalu_f1"	"Hlaalu Guard"
"_MCA_guard_telvanni_f1"	"Telvanni Guard"
"_MCA_noble_dunmer_f4"	"Noblewoman"
"_MCA_noble_dunmer_m4"	"Nobleman"
"_MCA_noble_imp_f4"	"Noblewoman"
"_MCA_fence_imperial"	"Fence"
"_MCA_fence_breton"	"Fence"
"_MCA_fence_bosmer"	"Fence"
"_MCA_fence_redguard"	"Fence"
"_MCA_morag_tong_m"	"Morag Tong Assassin"
"_MCA_morag_tong_f"	"Morag Tong Assassin"
"_MCA_imp_guard_redg_m1"	"Imperial Legionary"
"_MCA_imp_guard_nord_m1"	"Imperial Legionary"
"_MCA_imp_guard_nord_f1"	"Imperial Legionary"
"_MCA_imp_guard_bret_f1"	"Imperial Legionary"
"_MCA_imp_guard_orc_m1"	"Imperial Legionary"
"_MCA_imp_guard_bret_m1"	"Imperial Legionary"
"_MCA_imp_guard_dun_m1"	"Imperial Legionary"
"_MCA_imp_guard_dun_f1"	"Imperial Legionary"
"_MCA_imp_knight_bret_m"	"Imperial Knight"
"_MCA_imp_battlemage"	"Imperial Battlemage"
"_MCA_imp_captain_imp_m"	"Imperial Centurion"
"_MCA_imp_guard_orc_f1"	"Imperial Legionary"
"_MCA_imp_archer_imp_f"	"Imperial Archer"
"_MCA_armiger_f"	"Buoyant Armiger"
"_MCA_armiger_elite_f"	"Elite Buoyant Armiger"
"_MCA_noble_dunmer_f5"	"Noblewoman"
"_MCA_noble_imp_f5"	"Noblewoman"
"_MCA_noble_dunmer_m5"	"Nobleman"
"_MCA_noble_imp_m3"	"Nobleman"
"_MCA_retainer_hlaalu_m1"	"Hlaalu Retainer"
"_MCA_retainer_hlaalu_f1"	"Hlaalu Retainer"
"_MCA_retainer_red_m1"	"Redoran Retainer"
"_MCA_retainer_red_f1"	"Redoran Retainer"
"_MCA_guard_redoran_f1"	"Redoran Guard"
"_MCA_imp_knight_imp_f"	"Imperial Knight"
"_MCA_imp_dragon_knight"	"Imperial Dragon Knight"
"_MCA_courtesan_dun_f1"	"Courtesan"
"_MCA_courtesan_dun_f2"	"Courtesan"
"_MCA_courtesan_dun_f3"	"Courtesan"
"_MCA_courtesan_bos_f1"	"Courtesan"
"_MCA_courtesan_bos_f2"	"Courtesan"
"_MCA_courtesan_bos_f3"	"Courtesan"
"_MCA_courtesan_bret_f1"	"Courtesan"
"_MCA_courtesan_bret_f2"	"Courtesan"
"_MCA_courtesan_bret_f3"	"Courtesan"
"_MCA_courtesan_imp_f1"	"Courtesan"
"_MCA_courtesan_imp_f2"	"Courtesan"
"_MCA_courtesan_alt_f1"	"Courtesan"
"_MCA_courtesan_alt_f2"	"Courtesan"
"_MCA_courtesan_nord_f1"	"Courtesan"
"_MCA_courtesan_nord_f2"	"Courtesan"
"_MCA_courtesan_orc_f"	"Courtesan"
"_MCA_courtesan_redg_f1"	"Courtesan"
"_MCA_courtesan_redg_f2"	"Courtesan"
"_MCA_courtesan_alt_m1"	"Courtesan"
"_MCA_courtesan_alt_m2"	"Courtesan"
"_MCA_courtesan_bos_m2"	"Courtesan"
"_MCA_courtesan_bos_m1"	"Courtesan"
"_MCA_courtesan_bos_m3"	"Courtesan"
"_MCA_courtesan_bret_m1"	"Courtesan"
"_MCA_courtesan_bret_m2"	"Courtesan"
"_MCA_courtesan_imp_m1"	"Courtesan"
"_MCA_courtesan_imp_m2"	"Courtesan"
"_MCA_courtesan_imp_m3"	"Courtesan"
"_MCA_courtesan_dun_m1"	"Courtesan"
"_MCA_courtesan_dun_m2"	"Courtesan"
"_MCA_courtesan_dun_m3"	"Courtesan"
"_MCA_courtesan_nord_m1"	"Courtesan"
"_MCA_courtesan_nord_m2"	"Courtesan"
"_MCA_courtesan_nord_m3"	"Courtesan"
"_MCA_courtesan_redg_m1"	"Courtesan"
"_MCA_courtesan_redg_m2"	"Courtesan"
"_MCA_courtesan_bret_m3"	"Courtesan"
"_MCA_courtesan_bret_f4"	"Courtesan"
"_MCA_courtesan_imp_f3"	"Courtesan"
"_MCA_courtesan_imp_f4"	"Courtesan"
"_MCA_ashlander_f1"	"Ashlander"
"_MCA_ashlander_f3"	"Ashlander"
"_MCA_ashlander_f2"	"Ashlander"
"_MCA_ashlander_m1"	"Ashlander"
"_MCA_ashlander_m3"	"Ashlander"
"_MCA_ashlander_m2"	"Ashlander"
"_MCA_imp_guard_imp_m2"	"Imperial Legionary"
"_MCA_imp_guard_imp_f2"	"Imperial Legionary"
"_MCA_ordinator_elite_f"	"Elite Ordinator"
"_MCA_fence_khajiit"	"Fence"
"_MCA_barbarian_orc"	"Barbarian"
"_MCA_barbarian_nord"	"Barbarian"
"_MCA_barbarian_imperial"	"Barbarian"
"_MCA_beggar_1"	"Beggar"
"_MCA_beggar_2"	"Beggar"
"_MCA_beggar_3"	"Beggar"
"_MCA_beggar_4"	"Beggar"
"_MCA_noble_dunmer_m6"	"Nobleman"
"_MCA_courtesan_dun_f4"	"Courtesan"
"_MCA_courtesan_dun_f5"	"Courtesan"
"_MCA_knight_breton_f3"	"Knight"
"_MCA_knight_breton_m3"	"Knight"
"_MCA_knight_imperial_f3"	"Knight"
"_MCA_knight_imperial_m3"	"Knight"
"_MCA_knight_nord_f3"	"Knight"
"_MCA_knight_nord_m3"	"Knight"
"_MCA_ordinator_patrol"	"Ordinator"
"_MCA_ordinator_elite_p"	"Elite Ordinator"
"_MCA_armiger_patrol"	"Buoyant Armiger"
"_MCA_armiger_elite_ptrl"	"Elite Buoyant Armiger"
"_MCA_champion_altmer_f"	"Champion"
"_MCA_champion_altmer_m"	"Champion"
"_MCA_champion_argonia_f"	"Champion"
"_MCA_champion_argonia_m"	"Champion"
"_MCA_champion_bosmer_f"	"Champion"
"_MCA_champion_bosmer_m"	"Champion"
"_MCA_champion_breton_f"	"Champion"
"_MCA_champion_breton_m"	"Champion"
"_MCA_champion_dunmer_f"	"Champion"
"_MCA_champion_dunmer_m"	"Champion"
"_MCA_champion_imperia_f"	"Champion"
"_MCA_champion_imperia_m"	"Champion"
"_MCA_champion_khajiit_f"	"Champion"
"_MCA_champion_khajiit_m"	"Champion"
"_MCA_champion_nord_f"	"Champion"
"_MCA_champion_nord_m"	"Champion"
"_MCA_champion_redg_f"	"Champion"
"_MCA_champion_redg_m"	"Champion"
"_MCA_champion_orc_f"	"Champion"
"_MCA_champion_orc_m"	"Champion"
"_MCA_archer_altmer_f"	"Archer"
"_MCA_archer_altmer_m"	"Archer"
"_MCA_archer_argonian_f"	"Archer"
"_MCA_archer_argonian_m"	"Archer"
"_MCA_archer_bosmer_f"	"Archer"
"_MCA_archer_bosmer_m"	"Archer"
"_MCA_archer_breton_f"	"Archer"
"_MCA_archer_breton_m"	"Archer"
"_MCA_archer_dunmer_f"	"Archer"
"_MCA_archer_dunmer_m"	"Archer"
"_MCA_archer_imperial_f"	"Archer"
"_MCA_archer_imperial_m"	"Archer"
"_MCA_archer_khajiit_f"	"Archer"
"_MCA_archer_khajiit_m"	"Archer"
"_MCA_archer_nord_f"	"Archer"
"_MCA_archer_nord_m"	"Archer"
"_MCA_archer_orc_f"	"Archer"
"_MCA_archer_orc_m"	"Archer"
"_MCA_archer_redguard_f"	"Archer"
"_MCA_archer_redguard_m"	"Archer"
"_MCA_ordinator_dead"	"Dead Ordinator"
"_MCA_armiger_dead"	"Dead Buoyant Armiger"
"_MCA_traveller_alt_f"	"Traveler"
"_MCA_traveller_alt_m"	"Traveler"
"_MCA_traveller_argo_f"	"Traveler"
"_MCA_traveller_argo_m"	"Traveler"
"_MCA_traveller_redg_f"	"Traveler"
"_MCA_traveller_redg_m"	"Traveler"
"_MCA_traveller_orc_m"	"Traveler"
"_MCA_traveller_orc_f"	"Traveler"
"_MCA_traveller_khaj_f"	"Traveler"
"_MCA_traveller_khaj_m"	"Traveler"
"_MCA_traveller_bos_f"	"Traveler"
"_MCA_traveller_bos_m"	"Traveler"
"_MCA_traveller_bret_m"	"Traveler"
"_MCA_traveller_bret_f"	"Traveler"
"_MCA_traveller_dun_f"	"Traveler"
"_MCA_traveller_dun_m"	"Traveler"
"_MCA_traveller_imp_f"	"Traveler"
"_MCA_traveller_imp_m"	"Traveler"
"_MCA_traveller_nord_f"	"Traveler"
"_MCA_traveller_nord_m"	"Traveler"
"_MCA_knight_breton_m2"	"Knight"
"_MCA_knight_imperial_m2"	"Knight"
"_MCA_knight_nord_m2"	"Knight"
"_MCA_ruffian_dun_m01"	"Ruffian"
"_MCA_ruffian_dun_f01"	"Ruffian"
"_MCA_ruffian_bos_f01"	"Ruffian"
"_MCA_ruffian_bos_m01"	"Ruffian"
"_MCA_ruffian_nord_m01"	"Ruffian"
"_MCA_ruffian_nord_f01"	"Ruffian"
"_MCA_ruffian_bret_m01"	"Ruffian"
"_MCA_ruffian_bret_f01"	"Ruffian"
"_MCA_ruffian_imp_m01"	"Ruffian"
"_MCA_ruffian_imp_f01"	"Ruffian"
"_MCA_ruffian_red_f01"	"Ruffian"
"_MCA_ruffian_red_m01"	"Ruffian"
"_MCA_ruffian_orc_f01"	"Ruffian"
"_MCA_ruffian_orc_m01"	"Ruffian"
"_MCA_ruffian_khaj_f01"	"Ruffian"
"_MCA_ruffian_khaj_m01"	"Ruffian"
"_MCA_outlaw15_bosmer_f"	"Warrior"
"_MCA_outlaw15_bosmer_m"	"Warrior"
"_MCA_outlaw15_breton_f"	"Warrior"
"_MCA_outlaw15_breton_m"	"Warrior"
"_MCA_outlaw15_dunmer_f"	"Warrior"
"_MCA_outlaw15_dunmer_m"	"Warrior"
"_MCA_outlaw15_imp_f"	"Warrior"
"_MCA_outlaw15_imp_m"	"Warrior"
"_MCA_outlaw15_altmer_f"	"Warrior"
"_MCA_outlaw15_altmer_m"	"Warrior"
"_MCA_outlaw15_nord_f"	"Warrior"
"_MCA_outlaw15_nord_m"	"Warrior"
"_MCA_outlaw15_orc_f"	"Warrior"
"_MCA_outlaw15_orc_m"	"Warrior"
"_MCA_outlaw15_redg_f"	"Warrior"
"_MCA_outlaw15_redg_m"	"Warrior"
"_MCA_outlaw40_bosmer_f"	"Outlaw"
"_MCA_outlaw40_bosmer_m"	"Outlaw"
"_MCA_outlaw40_breton_f"	"Outlaw"
"_MCA_outlaw40_breton_m"	"Outlaw"
"_MCA_outlaw40_dunmer_f"	"Outlaw"
"_MCA_outlaw40_dunmer_m"	"Outlaw"
"_MCA_outlaw40_imp_f"	"Outlaw"
"_MCA_outlaw40_imp_m"	"Outlaw"
"_MCA_outlaw40_altmer_m"	"Outlaw"
"_MCA_outlaw40_altmer_f"	"Outlaw"
"_MCA_outlaw40_nord_f"	"Outlaw"
"_MCA_outlaw40_nord_m"	"Outlaw"
"_MCA_outlaw40_orc_m"	"Outlaw"
"_MCA_outlaw40_orc_f"	"Outlaw"
"_MCA_outlaw40_redg_f"	"Outlaw"
"_MCA_outlaw40_redg_m"	"Outlaw"
"_MCA_thief_bosmer_f"	"Thief"
"_MCA_thief_bosmer_m"	"Thief"
"_MCA_thief_breton_m"	"Thief"
"_MCA_thief_breton_f"	"Thief"
"_MCA_thief_dunmer_f"	"Thief"
"_MCA_thief_dunmer_m"	"Thief"
"_MCA_thief_imperial_m"	"Thief"
"_MCA_thief_imperial_f"	"Thief"
"_MCA_thief_khajiit_f"	"Thief"
"_MCA_thief_khajiit_m"	"Thief"
"_MCA_thief_redguard_m"	"Thief"
"_MCA_thief_redguard_f"	"Thief"
"_MCA_knight_breton_f2"	"Knight"
"_MCA_knight_imperial_f2"	"Knight"
"_MCA_knight_nord_f2"	"Knight"
"_MCA_rogue_bosmer_f"	"Rogue"
"_MCA_rogue_bosmer_m"	"Rogue"
"_MCA_rogue_breton_f"	"Rogue"
"_MCA_rogue_breton_m"	"Rogue"
"_MCA_rogue_dunmer_f"	"Rogue"
"_MCA_rogue_dunmer_m"	"Rogue"
"_MCA_rogue_imperial_f"	"Rogue"
"_MCA_rogue_imperial_m"	"Rogue"
"_MCA_rogue_khajiit_f"	"Rogue"
"_MCA_rogue_khajiit_m"	"Rogue"
"_MCA_mage_altmer_f"	"Mage"
"_MCA_mage_altmer_m"	"Mage"
"_MCA_mage_bosmer_f"	"Mage"
"_MCA_mage_bosmer_m"	"Mage"
"_MCA_mage_breton_f"	"Mage"
"_MCA_mage_breton_m"	"Mage"
"_MCA_mage_dunmer_f"	"Mage"
"_MCA_mage_dunmer_m"	"Mage"
"_MCA_mage_imperial_f"	"Mage"
"_MCA_mage_imperial_m"	"Mage"
"_MCA_ahemmusa_m1"	"Ahemmusa Ashlander"
"_MCA_ahemmusa_m2"	"Ahemmusa Ashlander"
"_MCA_ahemmusa_m3"	"Ahemmusa Ashlander"
"_MCA_erabenimsun_m1"	"Erabenimsun Ashlander"
"_MCA_erabenimsun_m2"	"Erabenimsun Ashlander"
"_MCA_erabenimsun_m3"	"Erabenimsun Ashlander"
"_MCA_ahemmusa_f1"	"Ahemmusa Ashlander"
"_MCA_ahemmusa_f2"	"Ahemmusa Ashlander"
"_MCA_ahemmusa_f3"	"Ahemmusa Ashlander"
"_MCA_erabenimsun_f1"	"Erabenimsun Ashlander"
"_MCA_erabenimsun_f2"	"Erabenimsun Ashlander"
"_MCA_erabenimsun_f3"	"Erabenimsun Ashlander"
"_MCA_urshilaku_m1"	"Urshilaku Ashlander"
"_MCA_urshilaku_m2"	"Urshilaku Ashlander"
"_MCA_urshilaku_m3"	"Urshilaku Ashlander"
"_MCA_zainab_m1"	"Zainab Ashlander"
"_MCA_zainab_m2"	"Zainab Ashlander"
"_MCA_zainab_m3"	"Zainab Ashlander"
"_MCA_urshilaku_f1"	"Urshilaku Ashlander"
"_MCA_urshilaku_f2"	"Urshilaku Ashlander"
"_MCA_urshilaku_f3"	"Urshilaku Ashlander"
"_MCA_zainab_f1"	"Zainab Ashlander"
"_MCA_zainab_f2"	"Zainab Ashlander"
"_MCA_zainab_f3"	"Zainab Ashlander"
"_MCA_mage_argonian_f"	"Mage"
"_MCA_mage_khajiit_m"	"Mage"
"_MCA_mage_argonian_m"	"Mage"
"_MCA_mage_khajiit_f"	"Mage"
"_MCA_warrior_altmer_f"	"Warrior"
"_MCA_warrior_altmer_m"	"Warrior"
"_MCA_warrior_argo_f"	"Warrior"
"_MCA_warrior_bosmer_f"	"Warrior"
"_MCA_warrior_bosmer_m"	"Warrior"
"_MCA_warrior_breton_f"	"Warrior"
"_MCA_warrior_breton_m"	"Warrior"
"_MCA_warrior_dunmer_f"	"Warrior"
"_MCA_warrior_dunmer_m"	"Warrior"
"_MCA_warrior_imperial_f"	"Warrior"
"_MCA_warrior_khajiit_f"	"Warrior"
"_MCA_warrior_khajiit_m"	"Warrior"
"_MCA_warrior_nord_f"	"Warrior"
"_MCA_warrior_nord_m"	"Warrior"
"_MCA_warrior_orc_f"	"Warrior"
"_MCA_warrior_orc_m"	"Warrior"
"_MCA_warrior_redguard_f"	"Warrior"
"_MCA_warrior_redguard_m"	"Warrior"
"_MCA_warrior_imperial_m"	"Warrior"
"_MCA_warrior_argo_m"	"Warrior"
"_MCA_mabrigash_04"	"Mabrigash"
"_MCA_ordinator_high_m"	"High Ordinator"
"_MCA_ordinator_hand"	"Hand of Almalexia"
"_MCA_mage_redguard_f"	"Mage"
"_MCA_mage_redguard_m"	"Mage"
"_MCA_rogue_redguard_f"	"Rogue"
"_MCA_rogue_redguard_m"	"Rogue"
"_MCA_ranger_dunmer_m"	"Ranger"
"_MCA_ranger_imperial_m"	"Ranger"
"_MCA_ranger_bosmer_m"	"Ranger"
"_MCA_ranger_nord_m"	"Ranger"
"_MCA_ranger_breton_m"	"Ranger"
"_MCA_novice_dunmer_f"	"Novice"
"_MCA_novice_dunmer_m"	"Novice"
"_MCA_commoner_imp_f"	"Commoner"
"_MCA_commoner_imp_m"	"Commoner"
"_MCA_commoner_alt_f"	"Commoner"
"_MCA_commoner_alt_m"	"Commoner"
"_MCA_commoner_bos_m"	"Commoner"
"_MCA_commoner_bos_f"	"Commoner"
"_MCA_commoner_bret_m"	"Commoner"
"_MCA_commoner_bret_f"	"Commoner"
"_MCA_commoner_arg_m1"	"Commoner"
"_MCA_commoner_arg_m2"	"Commoner"
"_MCA_commoner_arg_m3"	"Commoner"
"_MCA_commoner_arg_m4"	"Commoner"
"_MCA_commoner_arg_m5"	"Commoner"
"_MCA_commoner_arg_m6"	"Commoner"
"_MCA_commoner_arg_f1"	"Commoner"
"_MCA_commoner_arg_f2"	"Commoner"
"_MCA_commoner_arg_f3"	"Commoner"
"_MCA_commoner_khaj_f1"	"Commoner"
"_MCA_commoner_khaj_f2"	"Commoner"
"_MCA_commoner_khaj_f3"	"Commoner"
"_MCA_commoner_khaj_f4"	"Commoner"
"_MCA_commoner_khaj_m1"	"Commoner"
"_MCA_commoner_khaj_m2"	"Commoner"
"_MCA_commoner_khaj_m3"	"Commoner"
"_MCA_commoner_khaj_m4"	"Commoner"
"_MCA_commoner_orc_m"	"Commoner"
"_MCA_commoner_orc_f"	"Commoner"
"_MCA_commoner_redg_m"	"Commoner"
"_MCA_commoner_redg_f"	"Commoner"
"_MCA_barbarian_breton"	"Barbarian"
"_MCA_prisoner_arg"	"Prisoner"
"_MCA_prisoner_bret"	"Prisoner"
"_MCA_prisoner_dunm"	"Prisoner"
"_MCA_prisoner_imp"	"Prisoner"
"_MCA_prisoner_khaj"	"Prisoner"
"_MCA_prisoner_nord"	"Prisoner"
"_MCA_prisoner_orc"	"Prisoner"
"_MCA_prisoner_redg"	"Prisoner"
"_MCA_BM_commoner_f"	"Villager"
"_MCA_BM_commoner_m"	"Villager"
"_MCA_BM_huntsman_m1"	"Huntsman"
"_MCA_BM_huntsman_m2"	"Huntsman"
"_MCA_BM_huntsman_m3"	"Huntsman"
"_MCA_BM_huntsman_m4"	"Huntsman"
"_MCA_BM_warrior_m2"	"Warrior"
"_MCA_BM_warrior_m1"	"Warrior"
"_MCA_BM_warrior_m3"	"Warrior"
"_MCA_BM_barbarian_m"	"Barbarian"
"_MCA_imp_guard_bret_m2"	"Imperial Legionary"
"_MCA_imp_guard_bret_f2"	"Imperial Legionary"
"_MCA_imp_guard_redg_f1"	"Imperial Legionary"
"_MCA_courtesan_nord_f3"	"Courtesan"
"_MCA_courtesan_nord_f4"	"Courtesan"
"_MCA_guard_hlaalu_p"	"Hlaalu Guard"
"_MCA_guard_telvanni_p"	"Telvanni Guard"
"_MCA_guard_redoran_p"	"Redoran Guard"
"_MCA_dreamer_warrior_m"	"Dreamer Warrior"
"_MCA_dreamer_priest_m1"	"Dreamer Priest"
"_MCA_dreamer_archer_m"	"Dreamer Archer"
"_MCA_dreamer_warrior_f"	"Dreamer Warrior"
"_MCA_dreamer_archer_f"	"Dreamer Archer"
"_MCA_dreamer_priest_m2"	"Dreamer Priest"
"_MCA_dreamer_m1"	"Dreamer"
"_MCA_dreamer_m2"	"Dreamer"
"_MCA_dreamer_m3"	"Dreamer"
"_MCA_dreamer_m4"	"Dreamer"
"_MCA_dreamer_m5"	"Dreamer"
"_MCA_dreamer_f1"	"Dreamer"
"_MCA_dreamer_f2"	"Dreamer"
"_MCA_dreamer_f3"	"Dreamer"
"_MCA_dreamer_f4"	"Dreamer"
"_MCA_dreamer_f5"	"Dreamer"
"_MCA_dreamer_prophet_m2"	"Dreamer Prophet"
"_MCA_dreamer_prophet_m1"	"Dreamer Prophet"
"_MCA_dreamer_champion_m"	"Dreamer Champion"
"_MCA_dreamer_sharp_m"	"Dreamer Sharpshooter"
"_MCA_dreamer_priestess"	"Dreamer Priestess"
"_MCA_dreamer_sharp_f"	"Dreamer Sharpshooter"
"_MCA_dreamer_champion_f"	"Dreamer Champion"
"_MCA_witch_redguard_m"	"Warlock"
"_MCA_witch_redguard_f"	"Witch"
"_MCA_witch_altmer_f"	"Witch"
"_MCA_witch_altmer_m"	"Warlock"
"_MCA_witch_breton_m"	"Warlock"
"_MCA_witch_dunmer_m"	"Warlock"
"_MCA_witch_imperial_m"	"Warlock"
"_MCA_witch_bosmer_m"	"Warlock"
"_MCA_witch_breton_f"	"Witch"
"_MCA_witch_dunmer_f"	"Witch"
"_MCA_witch_imperial_f"	"Witch"
"_MCA_witch_bosmer_f"	"Witch"
"_MCA_witch_orc_f"	"Witch"
"_MCA_witch_orc_m"	"Warlock"
"_MCA_witch_nord_m"	"Warlock"
"_MCA_witch_nord_f"	"Witch"
"_MCA_orc_champion_f"	"Orc Champion"
"_MCA_orc_champion_m"	"Orc Champion"
"_MCA_outlaw20_breton_m"	"Archer"
"_MCA_outlaw20_imp_m"	"Archer"
"_MCA_outlaw20_dunmer_m"	"Archer"
"_MCA_outlaw20_bosmer_f"	"Archer"
"_MCA_outlaw20_altmer_m"	"Archer"
"_MCA_outlaw20_altmer_f"	"Archer"
"_MCA_outlaw20_bosmer_m"	"Archer"
"_MCA_outlaw20_dunmer_f"	"Archer"
"_MCA_outlaw20_breton_f"	"Archer"
"_MCA_outlaw20_imp_f"	"Archer"
"_MCA_outlaw20_nord_m"	"Archer"
"_MCA_outlaw20_nord_f"	"Archer"
"_MCA_outlaw20_orc_m"	"Archer"
"_MCA_outlaw20_redg_f"	"Archer"
"_MCA_outlaw20_redg_m"	"Archer"
"_MCA_outlaw20_orc_f"	"Archer"
"_MCA_courtesan_imp_m4"	"Courtesan"
"_MCA_imp_marks_imp_m"	"Imperial Marksman"
"_MCA_imp_marks_imp_f"	"Imperial Markswoman"
"_MCA_imp_dukes_imp_m"	"Duke's Guard"
"_MCA_imp_dukes_imp_f"	"Duke's Guard"
"_MCA_outcast_f_05b"	"Outcast Ashlander"
"_MCA_outcast_f_05a"	"Outcast Ashlander"
"_MCA_outcast_f_15b"	"Outcast Ashlander"
"_MCA_outcast_f_15a"	"Outcast Ashlander"
"_MCA_outcast_f_30b"	"Outcast Ashlander"
"_MCA_outcast_f_30a"	"Outcast Ashlander"
"_MCA_outcast_m_05a"	"Outcast Ashlander"
"_MCA_outcast_m_05b"	"Outcast Ashlander"
"_MCA_outcast_m_15a"	"Outcast Ashlander"
"_MCA_outcast_m_15b"	"Outcast Ashlander"
"_MCA_outcast_m_30a"	"Outcast Ashlander"
"_MCA_outcast_m_30b"	"Outcast Ashlander"
"_MCA_mabrigash_01"	"Mabrigash"
"_MCA_mabrigash_05"	"Mabrigash"
"_MCA_mabrigash_06"	"Mabrigash"
"_MCA_mabrigash_02"	"Mabrigash"
"_MCA_mabrigash_03"	"Mabrigash"
"_MCA_retainer_hlaalu_m2"	"Hlaalu Retainer"
"_MCA_retainer_hlaalu_m3"	"Hlaalu Retainer"
"_MCA_retainer_hlaalu_f2"	"Hlaalu Retainer"
"_MCA_retainer_hlaalu_f3"	"Hlaalu Retainer"
"_MCA_retainer_hlaalu_f4"	"Hlaalu Retainer"
"_MCA_retainer_hlaalu_m4"	"Hlaalu Retainer"
"_MCA_retainer_red_f2"	"Redoran Retainer"
"_MCA_retainer_red_f3"	"Redoran Retainer"
"_MCA_retainer_red_f4"	"Redoran Retainer"
"_MCA_retainer_tel_f1"	"Telvanni Retainer"
"_MCA_retainer_red_m2"	"Redoran Retainer"
"_MCA_retainer_red_m4"	"Redoran Retainer"
"_MCA_retainer_red_m3"	"Redoran Retainer"
"_MCA_retainer_tel_m1"	"Telvanni Retainer"
"_MCA_retainer_tel_m2"	"Telvanni Retainer"
"_MCA_retainer_tel_m4"	"Telvanni Retainer"
"_MCA_imp_knight_bret_f"	"Imperial Knight"
"_MCA_retainer_tel_f2"	"Telvanni Retainer"
"_MCA_retainer_tel_f3"	"Telvanni Retainer"
"_MCA_retainer_tel_f4"	"Telvanni Retainer"
"_MCA_retainer_tel_m3"	"Telvanni Retainer"
"_MCA_ruffian_bos_f02"	"Ruffian"
"_MCA_ruffian_bos_m02"	"Ruffian"
"_MCA_ruffian_bret_f02"	"Ruffian"
"_MCA_ruffian_dun_f02"	"Ruffian"
"_MCA_ruffian_imp_f02"	"Ruffian"
"_MCA_ruffian_khaj_f02"	"Ruffian"
"_MCA_ruffian_bret_m02"	"Ruffian"
"_MCA_ruffian_dun_m02"	"Ruffian"
