# [Filetype: Wrye Mash Remover]
# All creatures added by PirateLord's Creatures v8.5c
# by Dragon32

# PirateLord: Creatures v8.5c
"plx_Aqua Netch"	"Aqua Netch"
"plx_nix-hound_diseased"	"Diseased Nix-Hound"
"plx_NixPup"	"Nix-Pup"
"plx_overlord"	"Dremora Overlord"
"plx_parastylus"	"Parastylus"
"plx_razorfish"	"Razor Fish"
"plx_razorfish_swarm"	"Razor Fish"
"plx_repairspider"	"Repair Spider"
"plx_repairspider_swarm"	"Repair Spider"
"plx_rottingdeaddude"	"Putrid Rotting Corpse"
"plx_Rotworm"	"Rotworm"
"plx_rotwormcorpse"	"Putrid Rotting Corpse"
"plx_scarab"	"Scarab"
"plx_scarab_queen"	"Scarab"
"plx_scorpion1"	"Scorpion"
"plx_scorpion2"	"Giant Scorpion"
"plx_seacrab"	"Sandcrab"
"plx_SeaHorse"	"Sea Horse"
"plx_sewer_rat"	"Sewer Rat"
"plx_sewer_rat_boss"	"Sewer Rat"
"plx_shalk_herd"	"Shalk Queen"
"plx_shalk_herdT"	"Shalk"
"plx_shalk_lesser"	"Lesser Shalk"
"plx_SilverSaint"	"Silver Saint"
"plx_skeleton1"	"Skeleton"
"plx_skeleton2"	"Skeleton Lord"
"plx_slaughtershark"	"Slaughtershark"
"plx_snake1"	"Grass Snake"
"plx_snake2"	"Ash Snake"
"plx_spider"	"Spider"
"plx_spider2"	"Giant Spider"
"plx_SpiderDaedra1_F"	"Spider Daedra Huntress"
"plx_SpiderDaedra1_M"	"Spider Daedra Drone"
"plx_SpiderDaedra2_F"	"Spider Daedra Queen"
"plx_SpiderDaedra2_M"	"Spider Daedra Warrior"
"plx_SpiderDaedra3_M"	"Spider Daedra Guard"
"plx_squirrel"	"Silver Tail"
"plx_storm_monarch"	"Storm Monarch"
"PLX_strongscamp"	"Blazing Scamp"
"plx_tombrat"	"Tomb Rat"
"plx_vamphunter1"	"Vampire Hunter"
"plx_vamphunter2"	"Vampire Hunter"
"plx_vamphunter3"	"Vampire Hunter"
"plx_vamphunter4"	"Vampire Hunter"
"plx_vamphunter5"	"Vampire Hunter"
"plx_VenomNetchBetty"	"Venom Netch Betty"
"plx_VenomNetchBull"	"Venom Netch Bull"
"plx_wasp"	"Bush Wasp"
"plx_wasp_swarm"	"Bush Wasp"
"plx_winged_fiend"	"Winged Fiend"
"plx_wolfhunter1"	"Werewolf Hunter"
"plx_wolfhunter2"	"Werewolf Hunter"
"plx_wolfhunter3"	"Werewolf Hunter"
"plx_wolfhunter4"	"Werewolf Hunter"
"plx_wolfhunter5"	"Werewolf Hunter"
"plx_Woodsprite"	"Woodsprite"
